Grow.degd,For.cover,NDVI,bird_type,richness,forest_frag
250,88.545,25.63559322,open,0,1
250,64.9475,31.99152542,open,0,1
250,49.82,30.29661017,open,0,2
250,7.41,23.30508475,open,1,3
250,1.5775,40.25423729,open,1,3
330,44.2925,45.33898305,open,2,3
330,99.8675,60.38135593,open,1,1
330,0,22.88135593,open,10,0
330,38.2825,11.86440678,open,8,3
330,11.4125,19.06779661,open,4,7
330,0,2.118644068,open,9,0
170,100,54.02542373,open,0,1
170,100,51.05932203,open,1,1
170,96.6525,48.09322034,open,0,1
170,83.0825,55.08474576,open,1,3
170,56.605,73.09322034,open,1,5
170,40.1475,80.08474576,open,2,5
290,100,100,open,0,1
290,100,80.08474576,open,0,1
290,51.235,83.26271186,open,2,6
290,14.01,61.44067797,open,3,8
290,18.0325,84.11016949,open,2,5
290,0,52.75423729,open,5,0
250,99.7775,58.68644068,open,1,1
250,93.53,74.57627119,open,0,2
250,59.7575,46.8220339,open,0,3
250,55.6225,29.02542373,open,0,8
250,8.9475,1.483050847,open,1,2
250,7.2825,9.322033898,open,2,5
310,86.6725,97.24576271,open,1,1
310,89.355,89.40677966,open,0,1
310,46.57,96.39830508,open,1,1
310,37.7875,93.6440678,open,1,1
310,0,95.55084746,open,1,0
310,1.245,73.94067797,open,3,1
350,81.0775,16.52542373,open,4,2
350,99.985,20.33898305,open,0,1
350,95.17,20.12711864,open,2,1
350,99.8725,22.24576271,open,3,1
350,99.8375,17.37288136,open,3,1
350,0.21,0,open,3,1
160,90.54,48.30508475,open,0,1
160,93.08,40.46610169,open,0,2
160,24.9225,60.80508475,open,1,7
160,16.45,56.77966102,open,0,6
160,21.095,52.75423729,open,1,6
250,100,30.72033898,open,0,1
250,88.545,25.63559322,open,0,1
250,64.9475,31.99152542,open,0,1
250,49.82,30.29661017,open,0,2
250,7.41,23.30508475,open,0,3
250,1.5775,40.25423729,open,1,3
